City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Khatanga,RU,71.9667,102.5,-15.12,90,100,1.48,overcast clouds
80,Luderitz,NA,-26.6481,15.1594,65.41,90,0,10.56,clear sky
81,Saldanha,ZA,-33.0117,17.9442,64.45,89,94,11.74,overcast clouds
82,Tromso,NO,69.6496,18.957,28.42,86,75,19.57,snow
83,Port Hardy,CA,50.6996,-127.4199,28.58,64,100,25.32,light snow
84,Natal,BR,-5.795,-35.2094,84.85,74,40,16.11,scattered clouds
85,Ribeira Grande,PT,38.5167,-28.7,61.2,77,40,21.85,scattered clouds
86,Lerwick,GB,60.1545,-1.1494,35.6,58,79,18.86,light rain
87,Pangnirtung,CA,66.1451,-65.7125,6.8,66,20,5.75,few clouds
88,Shimanovsk,RU,52.0,127.7,2.5,88,93,12.91,overcast clouds
89,Qaqortoq,GL,60.7167,-46.0333,10.18,64,0,8.41,clear sky
90,Hami,CN,42.8,93.45,21.09,44,88,3.8,overcast clouds
91,Chipinge,ZW,-20.1883,32.6236,58.39,95,100,5.12,overcast clouds
92,Ahipara,NZ,-35.1667,173.1667,68.9,67,9,7.92,clear sky
93,Itarema,BR,-2.9248,-39.9167,79.83,78,76,12.08,broken clouds
94,Torbay,CA,47.6666,-52.7314,30.58,78,75,16.11,broken clouds
95,Hilo,US,19.7297,-155.09,85.28,80,0,5.99,clear sky
96,Nongstoin,IN,25.5167,91.2667,46.45,85,1,3.18,clear sky
97,Albany,US,42.6001,-73.9662,34.63,83,100,1.01,snow
98,Sterling,US,39.0062,-77.4286,46.35,97,100,8.05,heavy intensity rain
99,Sitka,US,57.0531,-135.33,26.17,65,100,8.39,overcast clouds
100,Georgetown,MY,5.4112,100.3354,79.9,88,20,5.01,few clouds
101,Lorengau,PG,-2.0226,147.2712,82.08,80,100,7.99,overcast clouds
102,Avera,US,33.194,-82.5271,45.91,81,84,5.53,broken clouds
103,Avarua,CK,-21.2078,-159.775,82.45,74,40,12.66,scattered clouds
104,Nemuro,JP,43.3236,145.575,38.82,94,100,42.99,moderate rain
105,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,77,100,11.5,mist
106,Kihei,US,20.785,-156.4656,78.84,71,20,8.05,few clouds
107,Turayf,SA,31.6725,38.6637,46.65,81,0,11.5,clear sky
108,Touros,BR,-5.1989,-35.4608,79.38,74,5,9.53,clear sky
109,Fukue,JP,32.6881,128.8419,40.06,78,100,37.33,overcast clouds
110,Atambua,ID,-9.1061,124.8925,74.46,88,100,2.35,overcast clouds
111,Velizh,RU,55.6056,31.1967,34.12,100,100,6.85,overcast clouds
112,Narsaq,GL,60.9167,-46.05,7.48,63,0,9.08,clear sky
113,Bredasdorp,ZA,-34.5322,20.0403,66.04,80,82,5.64,broken clouds
114,Port Keats,AU,-14.25,129.55,78.84,95,100,18.63,moderate rain
115,Hermanus,ZA,-34.4187,19.2345,63.81,86,88,1.52,overcast clouds
116,Batemans Bay,AU,-35.7167,150.1833,62.1,61,25,2.64,scattered clouds
117,Cayenne,GF,4.9333,-52.3333,80.64,74,75,9.22,broken clouds
118,Batagay-Alyta,RU,67.8006,130.4114,-12.01,96,27,4.23,scattered clouds
119,Chifeng,CN,42.2683,118.9636,3.61,36,3,11.59,clear sky
120,Khani,GE,41.9563,42.9566,38.77,64,36,5.93,scattered clouds
121,Amuntai,ID,-2.4177,115.2494,73.65,98,100,1.41,overcast clouds
122,Abha,SA,18.2164,42.5053,53.42,76,0,0.0,clear sky
123,Bell Ville,AR,-32.6259,-62.6887,92.66,19,17,6.87,few clouds
124,Coihaique,CL,-45.5752,-72.0662,52.41,62,100,9.22,light rain
125,Esperance,AU,-33.8667,121.9,57.83,82,0,9.78,clear sky
126,Provost,CA,52.3501,-110.2683,-25.15,97,32,2.44,scattered clouds
127,Valleyview,CA,55.0667,-117.2859,-20.16,69,1,4.61,clear sky
128,Atuona,PF,-9.8,-139.0333,78.82,79,11,16.46,light rain
129,Deputatskiy,RU,69.3,139.9,-15.47,100,30,1.19,scattered clouds
130,Sinnamary,GF,5.3833,-52.95,77.9,79,100,12.28,overcast clouds
131,Wahpeton,US,46.2652,-96.6059,-8.07,70,0,24.16,haze
132,Ponta Do Sol,PT,32.6667,-17.1,66.83,86,25,2.53,scattered clouds
133,Neuquen,AR,-38.9516,-68.0591,84.09,30,0,19.57,clear sky
134,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,82,100,14.2,overcast clouds
135,Vestmanna,FO,62.1564,-7.1664,32.92,60,100,8.05,overcast clouds
136,Roald,NO,62.5833,6.1333,35.33,93,75,0.0,broken clouds
137,Chuy,UY,-33.6971,-53.4616,72.77,61,3,15.39,clear sky
138,Aspindza,GE,41.5739,43.2483,34.07,64,15,5.93,few clouds
139,Fuyu,CN,45.1833,124.8167,2.59,94,100,14.63,light snow
140,Duayaw Nkwanta,GH,7.1724,-2.1028,72.57,29,16,2.86,few clouds
141,Lompoc,US,34.6391,-120.4579,68.85,55,100,3.0,overcast clouds
142,Bonfim,BR,3.0833,-59.95,85.33,57,79,7.49,broken clouds
143,Changping,CN,40.2186,116.2197,13.64,32,0,6.17,clear sky
144,Saskylakh,RU,71.9167,114.0833,-13.16,87,54,14.41,broken clouds
145,Henties Bay,NA,-22.116,14.2845,63.52,90,4,7.78,clear sky
146,Tautira,PF,-17.7333,-149.15,79.65,80,100,14.67,light rain
147,Longyearbyen,SJ,78.2186,15.6401,19.24,68,75,23.02,broken clouds
148,Bathsheba,BB,13.2167,-59.5167,80.06,82,16,16.87,few clouds
149,Chingirlau,KZ,51.095,54.0814,26.89,76,100,19.75,overcast clouds
150,Victoria,HK,22.2855,114.1577,62.26,40,7,11.99,clear sky
151,Boa Vista,BR,2.8197,-60.6733,89.58,43,40,8.05,scattered clouds
152,Cabo San Lucas,MX,22.8909,-109.9124,79.61,51,0,5.37,clear sky
153,Hualmay,PE,-11.0964,-77.6139,74.14,75,68,12.86,broken clouds
154,Mandalgovi,MN,45.7625,106.2708,8.91,84,20,0.94,few clouds
155,Solvychegodsk,RU,61.3305,46.9156,33.04,92,100,10.09,overcast clouds
156,Sur,OM,22.5667,59.5289,70.57,48,77,2.95,broken clouds
157,Castro,BR,-24.7911,-50.0119,66.16,74,64,8.41,broken clouds
158,Odweyne,SO,9.4092,45.064,70.81,53,55,2.48,broken clouds
159,Virden,US,39.5009,-89.7679,3.25,85,100,21.03,light snow
160,Babu,CN,24.4167,111.5167,49.12,48,96,3.71,overcast clouds
161,Prince Rupert,CA,54.3161,-130.3201,28.09,44,75,17.27,broken clouds
162,Bairiki,KI,1.3292,172.9752,80.96,78,92,20.0,overcast clouds
163,Jamestown,US,42.097,-79.2353,38.71,64,100,14.0,overcast clouds
164,San Patricio,US,28.017,-97.5169,70.52,57,31,14.99,scattered clouds
165,Grindavik,IS,63.8424,-22.4338,25.27,63,75,13.8,broken clouds
166,Eyl,SO,7.9803,49.8164,76.05,84,52,16.02,broken clouds
167,Lavrentiya,RU,65.5833,-171.0,16.57,79,2,13.62,clear sky
168,Dumas,US,35.8656,-101.9732,6.62,39,0,25.32,clear sky
